Gr Lat, W Lon, Az (W from N)
-75.008288,118.13506,115.59996
-75.039102,118.31646,121.68408
-75.068791,118.49965,117.36189
-75.092032,118.69516,115.70157
-75.118952,118.88504,112.94845
-75.137158,119.08785,106.03453
-75.151538,119.29508,102.46608
-75.163057,119.50458,101.05688
-75.174792,119.71463,103.55756
-75.191011,119.92012,111.78656
-75.217748,120.11164,116.62794
-75.242809,120.30634,115.21352
-75.267075,120.50295,114.37536
-75.29068,120.701,114.42688
-75.315034,120.8981,116.49984
-75.342243,121.09026,117.89985
-75.369031,121.28367,115.86566
-75.392696,121.483,111.22737
-75.411232,121.69023,108.70306
-75.430389,121.8972,117.33279
-75.463706,122.07617,125.14283
-75.496232,122.25802,124.5848
-75.528595,122.4398,115.64474
-75.545696,122.6513,107.42303
-75.563883,122.86026,101.24924
-75.5693,123.08134,105.33946
-75.594517,123.27499,122.72886
-75.630483,123.45103,122.16662
-75.655311,123.65105,111.36596
-75.672872,123.8645,108.94254
-75.693459,124.07273,113.159
-75.718543,124.27493,113.91687
-75.740516,124.48209,108.73397
-75.756199,124.69803,108.72344
-75.778238,124.9067,103.88353
-75.784605,125.12816,101.44369
-75.802099,125.34111,111.09231
-75.826501,125.54707,110.77914
-75.842824,125.75532,120.36725
-75.880886,125.9132,116.2124
-75.891093,126.14047,102.13947
-75.906579,126.35904,106.76652
-75.925199,126.57423,108.42575
-75.943747,126.78983,108.99999
-75.963424,127.00437,106.73652
-75.977773,127.22527,101.40338
-75.987458,127.44959,100.4668
-76.000026,127.67204,104.89285
-76.01796,127.88859,110.48038
-76.040793,128.09956,113.46467
-76.064189,128.30983,110.27452
-76.081192,128.52919,107.97687
-76.100385,128.74533,108.481
-76.118248,128.96351,110.29724
-76.140827,129.17687,110.85893
-76.159851,129.39589,113.02921
-76.186147,129.60224,114.7027
-76.208088,129.81684,109.77751
-76.225741,130.03926,108.01513
-76.244572,130.26004,105.99565
-76.258426,130.48665,98.927091
-76.263883,130.71766,91.539896
-76.263567,130.94914,92.70924
-76.27128,131.18001,98.141181
-76.281458,131.41029,100.96426
-76.294549,131.63815,102.31771
-76.307201,131.86542,96.226705
-76.308641,132.0982,88.718372
-76.306903,132.33182,86.858874
-76.304738,132.56387,83.65202
-76.296831,132.7929,85.75935
-76.298742,133.02571,96.888626
-76.312222,133.25385,98.171944
-76.316586,133.48621,96.135676
-76.326183,133.71633,95.584827
-76.329497,133.94959,93.536025
-76.335195,134.18229,97.433734
-76.345918,134.41153,97.205232
-76.351138,134.64369,92.060208
-76.352072,134.87782,95.762253
-76.364384,135.10831,93.542504
-76.36101,135.34088,90.958661
-76.368393,135.57232,93.871377
-76.370571,135.80419,89.316709
-76.369261,136.03746,89.619086
-76.372025,136.27114,87.621666
-76.366873,136.50392,89.05632
-76.372394,136.73809,93.969904
-76.376716,136.97267,93.42537
-76.38119,137.20744,91.617293
-76.382022,137.44209,88.230201
-76.379965,137.67652,87.209121
-76.378823,137.91132,89.40136
-76.380996,138.14647,94.20056
-76.389088,138.38058,93.01438
-76.388949,138.61453,82.127813
-76.376226,138.84156,75.82991
-76.364005,139.06849,75.01456
-76.349801,139.29257,72.701496
-76.333271,139.51362,69.855174
-76.313854,139.72926,74.20271
-76.305445,139.95954,83.042241
-76.302637,140.19269,90.586894
-76.308724,140.42628,94.994407
-76.314389,140.66007,85.87029
-76.303018,140.88617,69.458736
-76.278021,141.09173,63.06963
-76.254925,141.29949,69.962887
-76.242447,141.52488,72.446255
-76.223835,141.73993,64.922282
-76.197918,141.94076,66.375121
-76.181813,142.16056,66.034519
-76.155323,142.35966,60.343616
-76.129117,142.55947,60.661658
-76.103358,142.75777,66.40064
-76.087298,142.97613,71.860614
-76.071105,143.19353,71.062207
-76.0536,143.40907,73.736964
-76.042437,143.63123,73.545566
-76.024581,143.846,71.654722
-76.00972,144.06592,79.293694
-76.006262,144.29412,80.810091
-75.994323,144.51468,81.55089
-75.992268,144.74321,83.180648
-75.983343,144.96849,79.516071
-75.97426,145.19359,85.434231
-75.976661,145.42351,87.634989
-75.971801,145.64706,83.976457
-75.967328,145.87074,81.463496
-75.957743,146.0918,80.72066
-75.951764,146.31744,83.620423
-75.947565,146.54546,82.555407
-75.939508,146.77159,73.850223
-75.919192,146.97944,65.397784
-75.895654,147.18367,73.35319
-75.890153,147.40729,83.025675
-75.884374,147.63284,82.452276
-75.877708,147.85845,80.463764
-75.868131,148.08177,74.103328
-75.849629,148.29362,70.069622
-75.832584,148.5072,70.554458
-75.815026,148.71916,66.096836
-75.790037,148.91844,62.6945
-75.766339,149.11963,64.146117
-75.743903,149.32327,63.511408
-75.719121,149.52147,61.274683
-75.692843,149.71612,63.090278
-75.671179,149.9204,69.928538
-75.657062,150.13593,73.617746
-75.641974,150.35161,81.355661
-75.642594,150.57502,91.11482
-75.645964,150.8,78.198468
-75.622685,150.99965,57.163103
-75.588451,151.17135,50.942109
-75.554867,151.34423,58.781126
-75.533672,151.54712,64.592764
-75.509537,151.74456,59.068663
-75.479012,151.92557,56.406077
-75.450412,152.11166,61.4992
-75.428367,152.31251,70.835599
-75.416286,152.52706,78.58236
-75.408435,152.74611,71.362484
-75.383141,152.943,48.36648
-75.339,153.06352,42.431184
-75.304453,153.23215,49.414729
-75.268833,153.39489,46.77265
-75.230714,153.54787,48.200217
-75.197263,153.71673,51.29618
-75.163617,153.88511,50.727575
-75.129255,154.05076,50.238627
-75.094894,154.21593,49.828234
-75.060376,154.37673,56.735788
-75.037305,154.56875,51.836594
-74.995757,154.70494,37.8618
-74.952727,154.82648,30.860466
-74.903248,154.91918,38.481883
-74.871336,155.0786,63.119805
-74.856608,155.28787,68.227796
-74.832311,155.47397,56.086067
-74.797531,155.63585,59.297451
-74.778496,155.83349,60.637125
-74.745994,155.99965,55.55808
-74.718257,156.17923,51.252764
-74.679397,156.32427,46.371191
-74.643933,156.48185,44.825524
-74.603105,156.61757,44.536861
-74.567547,156.77166,51.32293
-74.536548,156.93975,41.870762
-74.488994,157.04156,34.111865
-74.446786,157.17002,39.371229
-74.405419,157.3022,39.825167
-74.363741,157.4327,35.551314
-74.317583,157.5387,33.944574
-74.274047,157.65903,36.989572
-74.23115,157.783,34.19426
-74.183733,157.88806,39.866799
-74.150415,158.03534,60.857264
-74.133975,158.22884,66.639916
-74.108646,158.4078,67.97961
-74.094569,158.60441,78.727686
-74.088753,158.80745,79.035438
-74.075281,159.0037,70.063399
-74.053002,159.18831,65.404746
-74.031058,159.37311,65.557828
-74.009053,159.55763,64.951973
-73.986069,159.73995,59.729768
-73.955097,159.90691,70.941714
-73.953471,160.10249,82.585606
-73.94267,160.29939,78.482944
-73.93314,160.49654,72.750305
-73.912368,160.67554,67.158642
-73.892611,160.86224,67.573939
-73.871779,161.04918,58.271894
-73.836933,161.19974,46.761354
-73.798144,161.33888,49.861516
-73.76784,161.50293,59.517639
-73.744021,161.68169,66.483194
-73.725449,161.86894,70.715716
-73.709144,162.05871,77.725373
-73.703589,162.2572,86.047309
-73.702864,162.45829,81.023405
-73.687929,162.64843,77.325322
-73.680202,162.84605,79.72834
-73.669667,163.04109,78.684484
-73.659991,163.23665,82.881262
-73.657353,163.43612,86.684417
-73.654855,163.63575,79.249786
-73.638309,163.82447,75.791197
-73.62936,164.01902,83.899888
-73.627911,164.21838,86.366625
-73.623598,164.4156,83.774887
-73.617242,164.61261,76.731948
-73.59976,164.80071,69.452001
-73.579863,164.98529,64.017047
-73.553311,165.15385,61.151745
-73.528589,165.32852,62.274658
-73.503546,165.50289,64.451648
-73.482968,165.68063,58.634411
-73.448621,165.83304,57.750338
